unicode	汉字	频率	旧频率	拼音
\u8bfe	课	7950	7950	ke
\u836f	药	7930	7930	yao
\u8349	草	7871	7871	cao
\u4efb	任	7851	7851	ren
\u7406	理	7822	7822	li
\u57ce	城	7812	7812	cheng
\u7f57	罗	7793	7793	luo
\u4ee4	令	7764	7764	ling
\u8d27	货	7754	7754	huo
\u5531	唱	7744	7744	chang
\u96e8	雨	7744	7744	yu
\u5de6	左	7716	7716	zuo
\u54df	哟	7696	7696	yo
\u84dd	蓝	7677	7677	lan
\u62a2	抢	7639	7639	qiang
\u5e38	常	7630	7630	chang
\u83dc	菜	7620	7620	cai
\u8272	色	7601	7608	se/shai
\u53bf	县	7573	7582	xian/xuan
\u6df7	混	7535	7535	hun
\u96c6	集	7498	7498	ji
\u611f	感	7460	7460	gan
\u64cd	操	7451	7451	cao
\u706b	火	7451	7451	huo
\u6562	敢	7442	7442	gan
\u8f83	较	7414	7414	jiao
\u9000	退	7395	7395	tui
\u623f	房	7386	7386	fang
\u5357	南	7350	7350	
\u8138	脸	7322	7322	lian
\u7834	破	7313	7313	po
\u4ef6	件	7286	7286	jian
\u5662	噢	7268	7268	o
\u5443	呃	7259	7259	e
\u5434	吴	7222	7222	wu
\u5fb7	德	7178	7178	de
\u501f	借	7169	7169	jie
\u58f0	声	7169	7169	sheng
\u50bb	傻	7160	7160	sha
\u514b	克	7151	7151	ke
\u6574	整	7151	7151	zheng
\u96ea	雪	7151	7151	xue
\u558a	喊	7142	7142	han
\u5c40	局	7098	7098	ju
\u8df3	跳	7089	7089	tiao
\u8865	补	7071	7071	bu
\u517b	养	7053	7053	yang
\u534e	华	7045	7045	hua
\u6076	恶	7036	7041	e/wu
\u56e2	团	7027	7027	tuan
\u53cd	反	6966	6966	fan
\u7838	砸	6923	6923	za
\u5f85	待	6914	6914	dai
\u7bc7	篇	6897	6897	pian
\u70e6	烦	6871	6871	fan
\u6295	投	6854	6854	tou
\u6839	根	6854	6854	gen
\u6df1	深	6820	6820	shen
\u6c42	求	6812	6812	qiu
\u4eb2	亲	6778	6790	qin/qing
\u7535	电	6752	6752	dian
\u914d	配	6736	6736	pei
\u4fee	修	6710	6710	xiu
\u6c88	沈	6710	6715	chen/shen
\u6b3e	款	6685	6685	kuan
\u516b	八	6677	6677	ba
\u77e5	知	6669	6669	zhi
\u53f6	叶	6660	6666	xie/ye
\u9b3c	鬼	6652	6652	gui
\u4f55	何	6636	6636	he
\u5668	器	6578	6578	qi
\u8bd5	试	6578	6578	shi
\u4e50	乐	6513	6856	le/yue
\u8c22	谢	6505	6505	xie
\u5c42	层	6480	6480	ceng
\u6728	木	6480	6480	mu
\u4ec5	仅	6472	6472	jin
\u5317	北	6464	6464	bei
\u8089	肉	6416	6416	rou
\u4efd	份	6408	6408	fen
\u91cd	重	6392	10935	chong/zhong
\u60c5	情	6384	6384	qing
\u8d75	赵	6376	6376	zhao
\u9700	需	6368	6368	xu
\u8bb0	记	6360	6360	ji
\u4e03	七	6313	6313	qi
\u6d41	流	6305	6305	liu
\u5408	合	6297	6302	ge/he
\u5217	列	6282	6282	lie
\u5347	升	6266	6266	sheng
\u5676	噶	6258	6258	ga
\u62db	招	6258	6258	zhao
\u8bba	论	6258	6258	lun
\u75db	痛	6235	6235	tong
\u7387	率	6211	6607	lv/shuai
\u5c01	封	6204	6204	feng
\u77f3	石	6204	6213	dan/shi
\u9999	香	6204	6204	xiang
\u773c	眼	6142	6142	yan
\u51b7	冷	6135	6135	leng
\u6613	易	6119	6119	yi
\u4ed8	付	6081	6081	fu
\u6d3e	派	6066	6066	pai
\u5e05	帅	6051	6051	shuai
\u9633	阳	6013	6013	yang
\u80e1	胡	6006	6006	hu
\u5382	厂	5991	5997	an/chang
\u5341	十	5976	5976	shi
\u6392	排	5969	5969	pai
\u6cb9	油	5961	5961	you
\u505c	停	5939	5939	ting
\u6811	树	5939	5939	shu
\u5965	奥	5814	5814	ao
\u519b	军	5771	5771	jun
\u724c	牌	5771	5771	pai
\u79d1	科	5764	5764	ke
\u8eab	身	5764	5764	shen
\u7ffb	翻	5742	5742	fan
\u661f	星	5735	5735	xing
\u5e16	帖	5721	5721	tie
\u968f	随	5721	5721	sui
\u6743	权	5707	5707	quan
\u6ce1	泡	5700	5700	pao
\u4ef7	价	5685	5690	jia/jie
\u5546	商	5650	5650	shang
\u5e93	库	5650	5650	ku
\u7389	玉	5643	5643	yu
\u8ffd	追	5643	5643	zhui
\u573a	场	5636	5636	chang
\u987b	须	5622	5622	xu
\u7269	物	5615	5615	wu
\u7ae0	章	5608	5608	zhang
\u80cc	背	5608	5608	bei
\u4e22	丢	5594	5594	diu
\u6731	朱	5587	5587	zhu
\u5b9d	宝	5580	5580	bao
\u811a	脚	5573	5579	jiao/jue
\u4f53	体	5566	5566	ti
\u4f24	伤	5552	5552	shang
\u89e3	解	5545	5563	jie/xie
\u5251	剑	5532	5532	jian
\u54b1	咱	5532	5532	zan
\u4ee3	代	5504	5504	dai
\u4ea6	亦	5497	5497	yi
\u5e95	底	5497	5574	de/di
\u5b59	孙	5484	5484	sun
\u4e1a	业	5470	5470	ye
\u5ba4	室	5463	5463	shi
\u65e7	旧	5456	5456	jiu
\u5de5	工	5450	5450	gong
\u6781	极	5429	5429	ji
\u5200	刀	5409	5409	dao
\u6ce2	波	5395	5395	bo
\u94c1	铁	5369	5369	tie
\u8bcd	词	5362	5362	ci
\u7b28	笨	5349	5349	ben
\u4e2b	丫	5309	5309	ya
\u63a8	推	5296	5296	tui
\u8bc1	证	5296	5296	zheng
\u7092	炒	5276	5276	chao
\u6625	春	5269	5269	chun
\u800d	耍	5269	5269	shua
\u8f93	输	5263	5263	shu
\u9a97	骗	5243	5243	pian
\u8f7b	轻	5236	5236	qing
\u542b	含	5223	5223	han
\u4e5d	九	5217	5217	jiu
\u4fe9	俩	5217	5763	lia/liang
\u5343	千	5217	5217	qian
\u6c5f	江	5217	5217	jiang
\u79d2	秒	5204	5204	miao
\u5f90	徐	5191	5191	xu
\u843d	落	5191	5270	la/lao/luo
\u77ed	短	5185	5185	duan
\u9752	青	5178	5178	qing
\u8282	节	5152	5152	jie
\u591c	夜	5146	5146	ye
\u5439	吹	5133	5133	chui
\u6e38	游	5120	5120	you
\u571f	土	5101	5101	tu
\u59d0	姐	5089	5089	jie
\u677f	板	5076	5076	ban
\u8d62	赢	5076	5076	ying
\u8bb8	许	5070	5106	hu/xu
\u76f4	直	5038	5038	zhi
\u82e6	苦	5038	5038	ku
\u516c	公	5026	5026	gong
\u541b	君	5013	5013	jun
\u70c2	烂	5013	5013	lan
\u76ae	皮	5013	5013	pi
\u79c0	秀	5013	5013	xiu
\u535a	博	5007	5007	bo
\u4e8f	亏	4988	4988	kui
\u5b58	存	4982	4982	cun
\u5e08	师	4963	4963	shi
\u7acb	立	4957	4957	li
\u7d20	素	4957	4957	su
\u5229	利	4951	4951	li
\u543e	吾	4951	4951	wu
\u70e7	烧	4945	4945	shao
\u8bd7	诗	4945	4945	shi
\u7747	睇	4939	4939	di
\u547d	命	4908	4908	ming
\u5236	制	4902	4902	zhi
\u9759	静	4902	4902	jing
\u6c11	民	4896	4896	min
\u6b32	欲	4883	4883	yu
\u6c64	汤	4871	4877	shang/tang
\u51b0	冰	4841	4841	bing
\u65ad	断	4835	4835	duan
\u9020	造	4835	4835	zao
\u5fd8	忘	4829	4829	wang
\u8336	茶	4823	4823	cha
\u5446	呆	4817	4822	ai/dai
\u62bd	抽	4805	4805	chou
\u6848	案	4805	4805	an
\u4f9b	供	4781	4781	gong
\u5c3d	尽	4781	4781	jin
\u5e03	布	4781	4781	bu
\u7530	田	4781	4781	tian
\u62b1	抱	4769	4769	bao
\u70df	烟	4763	4763	yan
\u521d	初	4757	4757	chu
\u91ce	野	4734	4734	ye
\u80d6	胖	4710	4741	pan/pang
\u54c1	品	4693	4693	pin
\u7d27	紧	4681	4681	jin
\u7eff	绿	4675	4710	lu/lv
\u9879	项	4675	4675	xiang
\u6545	故	4669	4669	gu
\u7b7e	签	4658	4658	qian
\u8c03	调	4646	6669	diao/tiao
