序號,詞目,詞頻,累計詞頻,百分比,累計百分比
593,組織,136,355698,0.02203121,57.62101778
594,廠,136,355834,0.02203121,57.64304899
595,擁有,136,355970,0.02203121,57.66508020
596,算,135,356105,0.02186922,57.68694942
597,一切,134,356239,0.02170722,57.70865665
598,病人,134,356373,0.02170722,57.73036387
599,馬,134,356507,0.02170722,57.75207110
600,百,133,356640,0.02154523,57.77361633
601,李登輝,133,356773,0.02154523,57.79516156
602,速度,133,356906,0.02154523,57.81670679
603,避免,133,357039,0.02154523,57.83825202
604,減少,132,357171,0.02138324,57.85963525
605,影像,132,357303,0.02138324,57.88101849
606,大量,131,357434,0.02122124,57.90223973
607,不但,131,357565,0.02122124,57.92346097
608,分鐘,131,357696,0.02122124,57.94468222
609,死,131,357827,0.02122124,57.96590346
610,不僅,130,357957,0.02105925,57.98696271
611,這麼,130,358087,0.02105925,58.00802195
612,造,130,358217,0.02105925,58.02908120
613,創作,130,358347,0.02105925,58.05014045
614,靠,130,358477,0.02105925,58.07119970
615,分別,129,358606,0.02089725,58.09209695
616,事情,129,358735,0.02089725,58.11299420
617,持續,129,358864,0.02089725,58.13389146
618,價值,129,358993,0.02089725,58.15478871
619,學,129,359122,0.02089725,58.17568596
620,觀念,129,359251,0.02089725,58.19658322
621,吸引,128,359379,0.02073526,58.21731848
622,起來,128,359507,0.02073526,58.23805374
623,送,128,359635,0.02073526,58.25878900
624,獲利,128,359763,0.02073526,58.27952426
625,人們,127,359890,0.02057327,58.30009752
626,反應,127,360017,0.02057327,58.32067079
627,目的,127,360144,0.02057327,58.34124405
628,行動,127,360271,0.02057327,58.36181732
629,牠,127,360398,0.02057327,58.38239058
630,長期,127,360525,0.02057327,58.40296385
631,控制,127,360652,0.02057327,58.42353711
632,調查,127,360779,0.02057327,58.44411038
633,醫師,127,360906,0.02057327,58.46468364
634,版,126,361032,0.02041127,58.48509491
635,建立,126,361158,0.02041127,58.50550618
