字頻序號,字,部首,筆畫,出現頻次,累積頻次,累積百分比
2320,剝,刀,10,22,991638,98.58647759
2321,悄,心,10,22,991660,98.58866478
2322,秩,禾,10,22,991682,98.59085197
2323,臭,自,10,22,991704,98.59303916
2324,笛,竹,11,22,991726,98.59522635
2325,脾,肉,12,22,991748,98.59741355
2326,愁,心,13,22,991770,98.59960074
2327,腮,肉,13,22,991792,98.60178793
2328,虞,虍,13,22,991814,98.60397512
2329,遂,??,13,22,991836,98.60616231
2330,厭,厂,14,22,991858,98.60834951
2331,翠,羽,14,22,991880,98.61053670
2332,颱,風,14,22,991902,98.61272389
2333,履,尸,15,22,991924,98.61491108
2334,撰,手,15,22,991946,98.61709827
2335,潭,水,15,22,991968,98.61928546
2336,磚,石,16,22,991990,98.62147266
2337,錦,金,16,22,992012,98.62365985
2338,鴕,鳥,16,22,992034,98.62584704
2339,磯,石,17,22,992056,98.62803423
2340,蟻,虫,19,22,992078,98.63022142
2341,騷,馬,20,22,992100,98.63240862
2342,鬚,髟,22,22,992122,98.63459581
2343,戈,戈,04,21,992143,98.63668358
2344,丘,一,05,21,992164,98.63877135
2345,弘,弓,05,21,992185,98.64085913
2346,灸,火,07,21,992206,98.64294690
2347,拌,手,08,21,992227,98.64503468
2348,抹,手,08,21,992248,98.64712245
2349,疝,??,08,21,992269,98.64921022
2350,叛,又,09,21,992290,98.65129800
2351,狠,犬,09,21,992311,98.65338577
2352,哩,口,10,21,992332,98.65547355
2353,悔,心,10,21,992353,98.65756132
2354,晉,日,10,21,992374,98.65964909
2355,框,木,10,21,992395,98.66173687
2356,烙,火,10,21,992416,98.66382464
2357,捧,手,11,21,992437,98.66591242
2358,欺,欠,12,21,992458,98.66800019
2359,菁,艸,12,21,992479,98.67008796
2360,塢,土,13,21,992500,98.67217574
2361,煞,火,13,21,992521,98.67426351
2362,肆,聿,13,21,992542,98.67635129
2363,詹,言,13,21,992563,98.67843906
2364,槓,木,14,21,992584,98.68052683
2365,碳,石,14,21,992605,98.68261461
2366,遣,??,14,21,992626,98.68470238
2367,墜,土,15,21,992647,98.68679016
2368,毅,殳,15,21,992668,98.68887793
2369,締,糸,15,21,992689,98.69096570
2370,噪,口,16,21,992710,98.69305348
2371,樸,木,16,21,992731,98.69514125
2372,骸,骨,16,21,992752,98.69722903
2373,燦,火,17,21,992773,98.69931680
2374,騙,馬,19,21,992794,98.70140457
2375,犧,牛,20,21,992815,98.70349235
2376,蔘,艸,15,21,992836,98.70558012
2377,魽,魚,16,21,992857,98.70766790
