八、九十年代台灣字頻統計

單字	序號	部首	筆劃	頻次	頻率	累積
頻次	累積
頻率	見檔次	見檔率
社	149		7	885	0.1345%	395305	49.52%	189	59.06%
眼	304		11	484	0.07358%	395789	64.75%	189	59.06%
數	318		15	466	0.07084%	396255	65.76%	189	59.06%
容	362		10	398	0.0605%	396653	68.64%	189	59.06%
便	234		9	628	0.09547%	397281	58.91%	188	58.75%
信	306		9	482	0.07327%	397763	64.90%	188	58.75%
利	255		7	578	0.08787%	398341	60.84%	187	58.44%
通	292		10	497	0.07555%	398838	63.86%	187	58.44%
完	336		7	433	0.06582%	399271	66.98%	187	58.44%
聲	244		17	606	0.09212%	399877	59.85%	186	58.13%
神	281		9	520	0.07905%	400397	63.01%	186	58.13%
落	320		13	457	0.06947%	400854	65.90%	186	58.13%
甚	378		9	379	0.05762%	401233	69.58%	186	58.13%
百	254		6	581	0.08832%	401814	60.75%	185	57.81%
念	283		8	511	0.07768%	402325	63.17%	185	57.81%
強	359		11	402	0.06111%	402727	68.45%	185	57.81%
空	288		8	506	0.07692%	403233	63.55%	184	57.50%
象	317		12	468	0.07114%	403701	65.69%	184	57.50%
工	161		3	824	0.1253%	404525	51.08%	183	57.19%
它	220		5	651	0.09896%	405176	57.56%	183	57.19%
打	326		5	447	0.06795%	405623	66.32%	183	57.19%
極	391		13	368	0.05594%	405991	70.32%	183	57.19%
教	155		11	852	0.1295%	406843	50.32%	182	56.88%
始	396		8	365	0.05549%	407208	70.60%	182	56.88%
書	159		10	844	0.1283%	408052	50.83%	181	56.56%
你	102		7	1201	0.1826%	409253	42.25%	180	56.25%
帶	367		11	396	0.0602%	409649	68.94%	180	56.25%
西	330		6	444	0.0675%	410093	66.59%	179	55.94%
根	416		10	345	0.05245%	410438	71.68%	179	55.94%
求	296		7	493	0.07495%	410931	64.16%	178	55.63%
式	337		6	433	0.06582%	411364	67.05%	178	55.63%
指	368		9	396	0.0602%	411760	69.00%	178	55.63%
連	432		10	328	0.04986%	412088	72.51%	178	55.63%
持	349		9	423	0.0643%	412511	67.83%	177	55.31%
門	314		8	472	0.07175%	412983	65.48%	176	55.00%
程	345		12	425	0.06461%	413408	67.57%	176	55.00%
除	410		9	354	0.05381%	413762	71.37%	176	55.00%
業	189		13	723	0.1099%	414485	54.33%	175	54.69%
花	223		8	647	0.09836%	415132	57.85%	175	54.69%
八	276		2	527	0.08011%	415659	62.61%	175	54.69%
單字	序號	部首	筆劃	頻次	頻率	累積
頻次	累積
頻率	見檔次	見檔率
識	313		19	473	0.0719%	416132	65.41%	175	54.69%
張	347		11	424	0.06446%	416556	67.70%	175	54.69%
似	394		7	366	0.05564%	416922	70.49%	174	54.38%
共	128		6	989	0.1503%	417911	46.53%	173	54.06%
轉	428		18	334	0.05077%	418245	72.31%	173	54.06%
女	126		3	1002	0.1523%	419247	46.23%	172	53.75%
特	287		10	507	0.07707%	419754	63.48%	172	53.75%
絕	384		12	372	0.05655%	420126	69.93%	172	53.75%
仍	406		4	358	0.05442%	420484	71.15%	172	53.75%
交	250		6	587	0.08924%	421071	60.40%	171	53.44%
萬	312		13	475	0.07221%	421546	65.34%	171	53.44%
量	319		12	464	0.07054%	422010	65.83%	171	53.44%
改	323		7	453	0.06886%	422463	66.11%	171	53.44%
令	407		5	358	0.05442%	422821	71.20%	171	53.44%
義	237		13	626	0.09516%	423447	59.20%	170	53.13%
候	334		10	435	0.06613%	423882	66.85%	170	53.13%
取	340		8	430	0.06537%	424312	67.25%	170	53.13%
呢	341		8	430	0.06537%	424742	67.31%	170	53.13%
七	302		2	487	0.07403%	425229	64.61%	169	52.81%
記	316		10	468	0.07114%	425697	65.62%	169	52.81%
字	344		6	425	0.06461%	426122	67.51%	169	52.81%
隨	489		15	285	0.04333%	426407	75.14%	169	52.81%
產	315		11	469	0.0713%	426876	65.55%	168	52.50%
東	369		8	396	0.0602%	427272	69.06%	168	52.50%
千	332		3	439	0.06674%	427711	66.72%	167	52.19%
乎	453		5	308	0.04682%	428019	73.52%	167	52.19%
裏	122		13	1033	0.157%	429052	45.62%	166	51.88%
九	213		2	661	0.1005%	429713	56.86%	166	51.88%
造	353		10	414	0.06294%	430127	68.08%	166	51.88%
聽	363		22	398	0.0605%	430525	68.70%	166	51.88%
另	433		5	327	0.04971%	430852	72.56%	165	51.56%
輕	380		14	379	0.05762%	431231	69.70%	164	51.25%
境	408		14	356	0.05412%	431587	71.26%	164	51.25%
早	426		6	336	0.05108%	431923	72.20%	164	51.25%
引	434		4	327	0.04971%	432250	72.61%	164	51.25%
足	480		7	291	0.04424%	432541	74.75%	164	51.25%
展	321		10	456	0.06932%	432997	65.97%	163	50.94%
六	329		4	444	0.0675%	433441	66.52%	163	50.94%
運	331		12	443	0.06734%	433884	66.65%	163	50.94%
單	374		12	381	0.05792%	434265	69.35%	163	50.94%
離	397		18	365	0.05549%	434630	70.65%	163	50.94%
確	469		15	299	0.04545%	434929	74.26%	163	50.94%
統	194		11	713	0.1084%	435642	54.88%	162	50.63%
金	284		8	508	0.07723%	436150	63.25%	162	50.63%
快	414		7	349	0.05305%	436499	71.58%	162	50.63%
精	415		14	346	0.0526%	436845	71.63%	162	50.63%
易	435		8	326	0.04956%	437171	72.66%	162	50.63%
政	65		9	1534	0.2332%	438705	34.65%	161	50.31%
親	235		16	628	0.09547%	439333	59.01%	161	50.31%
類	400		19	364	0.05533%	439697	70.82%	161	50.31%
