單字	序號	部首	筆劃	頻次	頻率	累積頻次	累積頻率	見檔次	見檔率
塔	639		13	202	0.03051%	546807	82.58%	52	15.90%
壞	640		19	200	0.03021%	547007	82.61%	80	24.46%
誰	641		15	200	0.03021%	547207	82.64%	79	24.16%
豐	642		18	200	0.03021%	547407	82.67%	83	25.38%
態	643		14	198	0.0299%	547605	82.70%	90	27.52%
穿	644		9	198	0.0299%	547803	82.73%	80	24.46%
周	645		8	196	0.0296%	547999	82.76%	97	29.66%
喜	646		12	196	0.0296%	548195	82.79%	66	20.18%
類	647		19	196	0.0296%	548391	82.82%	77	23.55%
波	648		8	195	0.02945%	548586	82.85%	76	23.24%
頂	649		11	195	0.02945%	548781	82.88%	61	18.65%
僅	650		13	194	0.0293%	548975	82.91%	95	29.05%
顯	651		23	194	0.0293%	549169	82.94%	102	31.19%
陣	652		9	193	0.02915%	549362	82.97%	81	24.77%
坐	653		7	192	0.029%	549554	83.00%	69	21.10%
戲	654		17	192	0.029%	549746	83.03%	25	7.65%
板	655		8	192	0.029%	549938	83.06%	65	19.88%
抓	656		7	191	0.02885%	550129	83.08%	63	19.27%
演	657		14	191	0.02885%	550320	83.11%	41	12.54%
送	658		9	190	0.0287%	550510	83.14%	78	23.85%
復	659		12	188	0.02839%	550698	83.17%	82	25.08%
雄	660		12	188	0.02839%	550886	83.20%	63	19.27%
綠	661		14	187	0.02824%	551073	83.23%	61	18.65%
查	662		9	186	0.02809%	551259	83.25%	75	22.94%
針	663		10	186	0.02809%	551445	83.28%	65	19.88%
房	664		8	185	0.02794%	551630	83.31%	57	17.43%
揮	665		12	185	0.02794%	551815	83.34%	77	23.55%
景	666		12	185	0.02794%	552000	83.37%	72	22.02%
速	667		10	185	0.02794%	552185	83.39%	73	22.32%
例	668		8	184	0.02779%	552369	83.42%	65	19.88%
蘭	669		21	184	0.02779%	552553	83.45%	49	14.98%
助	670		7	183	0.02764%	552736	83.48%	101	30.89%
執	671		11	183	0.02764%	552919	83.51%	65	19.88%
察	672		14	183	0.02764%	553102	83.53%	73	22.32%
留	673		10	183	0.02764%	553285	83.56%	90	27.52%
映	674		9	182	0.02749%	553467	83.59%	66	20.18%
翻	675		18	182	0.02749%	553649	83.62%	72	22.02%
握	676		12	181	0.02734%	553830	83.64%	86	26.30%
絕	677		12	181	0.02734%	554011	83.67%	85	25.99%
校	678		10	180	0.02718%	554191	83.70%	58	17.74%
視	679		12	180	0.02718%	554371	83.72%	95	29.05%
謂	680		16	180	0.02718%	554551	83.75%	65	19.88%
搞	681		13	179	0.02703%	554730	83.78%	57	17.43%
易	682		8	179	0.02703%	554909	83.81%	104	31.80%
普	683		12	179	0.02703%	555088	83.83%	90	27.52%
詩	684		13	179	0.02703%	555267	83.86%	48	14.68%
令	685		5	178	0.02688%	555445	83.89%	79	24.16%
沙	686		7	178	0.02688%	555623	83.91%	70	21.41%
迎	687		7	178	0.02688%	555801	83.94%	93	28.44%
另	688		5	177	0.02673%	555978	83.97%	105	32.11%
央	689		5	177	0.02673%	556155	83.99%	57	17.43%
峰	690		10	176	0.02658%	556331	84.02%	40	12.23%
限	691		8	175	0.02643%	556506	84.05%	86	26.30%
初	692		7	174	0.02628%	556680	84.07%	89	27.22%
